id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_balita_stunting,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,40314,ORANG,2014
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,25332,ORANG,2014
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,26687,ORANG,2014
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,46412,ORANG,2014
5,32,JAWA BARAT,3205,KABUPATEN GARUT,14609,ORANG,2014
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,28481,ORANG,2014
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2929,ORANG,2014
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,6551,ORANG,2014
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,22805,ORANG,2014
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,9396,ORANG,2014
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,ORANG,2014
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,ORANG,2014
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,4152,ORANG,2014
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,6091,ORANG,2014
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,23912,ORANG,2014
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,23473,ORANG,2014
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,20233,ORANG,2014
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,6055,ORANG,2014
19,32,JAWA BARAT,3271,KOTA BOGOR,2601,ORANG,2014
20,32,JAWA BARAT,3272,KOTA SUKABUMI,11761,ORANG,2014
21,32,JAWA BARAT,3273,KOTA BANDUNG,2466,ORANG,2014
22,32,JAWA BARAT,3274,KOTA CIREBON,22993,ORANG,2014
23,32,JAWA BARAT,3275,KOTA BEKASI,10106,ORANG,2014
24,32,JAWA BARAT,3276,KOTA DEPOK,6199,ORANG,2014
25,32,JAWA BARAT,3277,KOTA CIMAHI,6859,ORANG,2014
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,912,ORANG,2014
27,32,JAWA BARAT,3279,KOTA BANJAR,660,ORANG,2014
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,33721,ORANG,2015
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,20488,ORANG,2015
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,26582,ORANG,2015
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,16357,ORANG,2015
32,32,JAWA BARAT,3205,KABUPATEN GARUT,16624,ORANG,2015
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,18697,ORANG,2015
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2236,ORANG,2015
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3976,ORANG,2015
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,22667,ORANG,2015
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,5785,ORANG,2015
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2164,ORANG,2015
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,17049,ORANG,2015
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,3005,ORANG,2015
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,7820,ORANG,2015
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,24795,ORANG,2015
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,20699,ORANG,2015
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,14809,ORANG,2015
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,7030,ORANG,2015
46,32,JAWA BARAT,3271,KOTA BOGOR,1975,ORANG,2015
47,32,JAWA BARAT,3272,KOTA SUKABUMI,12142,ORANG,2015
48,32,JAWA BARAT,3273,KOTA BANDUNG,2778,ORANG,2015
49,32,JAWA BARAT,3274,KOTA CIREBON,18145,ORANG,2015
50,32,JAWA BARAT,3275,KOTA BEKASI,8952,ORANG,2015
51,32,JAWA BARAT,3276,KOTA DEPOK,6298,ORANG,2015
52,32,JAWA BARAT,3277,KOTA CIMAHI,7769,ORANG,2015
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,908,ORANG,2015
54,32,JAWA BARAT,3279,KOTA BANJAR,1194,ORANG,2015
